Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
STANDARD,106,150,5.8782,0.2004,0.0579,
STANDARD,107,150,5.9908,0.0522,0.0756,
STANDARD,108,150,6.1724,0.0612,0.0379,
STANDARD,109,150,6.2207,0.0861,0.0545,
STANDARD,110,150,6.1934,0.0815,0.0416,49.8748
STANDARD,111,150,6.463,0.0907,0.0544,
STANDARD,112,150,6.1984,0.0443,0.0457,
STANDARD,113,150,6.3454,0.1302,0.0481,
STANDARD,114,150,6.1621,0.0876,0.0523,
STANDARD,115,150,5.9416,0.0844,0.0565,
STANDARD,116,150,6.1563,0.0747,0.0461,
STANDARD,117,150,6.302,0.0563,0.0409,
STANDARD,118,150,6.4823,0.063,0.0319,
STANDARD,119,150,6.6825,0.1058,0.0502,
STANDARD,120,150,6.2464,0.0732,0.0595,42.5402
STANDARD,121,150,6.5047,0.1185,0.0543,
STANDARD,122,150,6.243,0.0443,0.0407,
STANDARD,123,150,6.504,0.0613,0.0473,
STANDARD,124,150,6.3951,0.0501,0.0413,
STANDARD,125,150,6.8588,0.0934,0.0578,
STANDARD,126,150,6.5297,0.0716,0.0519,
STANDARD,127,150,6.338,0.0695,0.0486,
STANDARD,128,150,6.4285,0.0887,0.0484,
STANDARD,129,150,6.3232,0.0848,0.044,
STANDARD,130,150,6.6801,0.0279,0.0445,44.6921
STANDARD,131,150,6.5509,0.107,0.0384,
STANDARD,132,150,6.4235,0.0882,0.0469,
STANDARD,133,150,6.7176,0.0639,0.0427,
STANDARD,134,150,6.6452,0.0424,0.0419,
STANDARD,135,150,6.2575,0.1166,0.0503,
STANDARD,136,150,6.6089,0.0386,0.0482,
STANDARD,137,150,6.5808,0.0809,0.0456,
STANDARD,138,150,6.5246,0.0787,0.0474,
STANDARD,139,150,6.4263,0.0848,0.053,
STANDARD,140,150,6.1879,0.1007,0.052,41.1268
STANDARD,141,150,6.1441,0.069,0.0422,
STANDARD,142,150,6.4142,0.0465,0.0341,
STANDARD,143,150,6.7494,0.0505,0.0509,
STANDARD,144,150,6.5545,0.1095,0.0544,
STANDARD,145,150,6.6525,0.0505,0.0521,
STANDARD,146,150,6.6435,0.0911,0.0575,
STANDARD,147,150,6.6727,0.038,0.05,
STANDARD,148,150,6.6024,0.0489,0.05,
STANDARD,149,150,6.6715,0.1133,0.0538,
STANDARD,150,150,6.6873,0.0593,0.0571,40.898
LSGAN,1,150,4.6326,1.4271,0.0214,
LSGAN,2,150,0.3885,0.1438,0.0494,
LSGAN,3,150,0.4133,0.1548,0.0688,
LSGAN,4,150,0.5115,0.0982,0.0935,
LSGAN,5,150,0.4448,0.1337,0.0818,
LSGAN,6,150,0.4245,0.156,0.0541,
LSGAN,7,150,0.4031,0.1851,0.0738,
LSGAN,8,150,0.4588,0.1623,0.0886,
LSGAN,9,150,0.4335,0.1725,0.0989,
LSGAN,10,150,0.3974,0.1985,0.0978,168.1501
LSGAN,11,150,0.3926,0.2041,0.1223,
LSGAN,12,150,0.4211,0.1889,0.085,
LSGAN,13,150,0.4113,0.1876,0.0927,
LSGAN,14,150,0.3926,0.2032,0.095,
LSGAN,15,150,0.4079,0.1954,0.0695,
LSGAN,16,150,0.4279,0.1888,0.1103,
LSGAN,17,150,0.4256,0.1784,0.1052,
LSGAN,18,150,0.437,0.1764,0.0948,
LSGAN,19,150,0.4332,0.1852,0.0958,
LSGAN,20,150,0.4453,0.1791,0.0722,130.1498
LSGAN,21,150,0.4481,0.1633,0.0716,
LSGAN,22,150,0.4614,0.1476,0.1172,
LSGAN,23,150,0.4499,0.1456,0.0856,
LSGAN,24,150,0.469,0.1461,0.0778,
LSGAN,25,150,0.465,0.1402,0.0823,
LSGAN,26,150,0.4645,0.1404,0.0844,
LSGAN,27,150,0.4555,0.152,0.0997,
LSGAN,28,150,0.4612,0.1524,0.1055,
LSGAN,29,150,0.4142,0.1478,0.0843,
LSGAN,30,150,0.451,0.1352,0.0893,88.8469
LSGAN,31,150,0.4466,0.1303,0.1011,
LSGAN,32,150,0.4462,0.134,0.1026,
LSGAN,33,150,0.4522,0.1367,0.0926,
LSGAN,34,150,0.4461,0.1284,0.0847,
LSGAN,35,150,0.4566,0.1188,0.0886,
LSGAN,36,150,0.4511,0.1191,0.0869,
LSGAN,37,150,0.4378,0.129,0.104,
LSGAN,38,150,0.4615,0.1047,0.0748,
LSGAN,39,150,0.4535,0.1069,0.0531,
LSGAN,40,150,0.4558,0.1099,0.0947,72.3228
LSGAN,41,150,0.4634,0.1,0.0842,
LSGAN,42,150,0.4636,0.1054,0.0672,
LSGAN,43,150,0.4567,0.105,0.1234,
LSGAN,44,150,0.3696,0.2072,0.0525,
LSGAN,45,150,0.3888,0.1236,0.0798,
LSGAN,46,150,0.4343,0.1064,0.0678,
LSGAN,47,150,0.442,0.1083,0.0851,
LSGAN,48,150,0.4,0.1504,0.1024,
LSGAN,49,150,0.4429,0.0937,0.0955,
LSGAN,50,150,0.4504,0.1195,0.0784,65.3318
LSGAN,51,150,0.4419,0.0859,0.0452,
LSGAN,52,150,0.4508,0.0969,0.1002,
LSGAN,53,150,0.4521,0.1043,0.0913,
LSGAN,54,150,0.4519,0.0928,0.1245,
LSGAN,55,150,0.4468,0.0936,0.0735,
LSGAN,56,150,0.4373,0.1068,0.1004,
LSGAN,57,150,0.4519,0.0892,0.0727,
LSGAN,58,150,0.4511,0.0888,0.1072,
LSGAN,59,150,0.4621,0.0868,0.0801,
LSGAN,60,150,0.4583,0.083,0.0637,45.85
LSGAN,61,150,0.451,0.0855,0.0924,
LSGAN,62,150,0.3093,0.2268,0.0815,
LSGAN,63,150,0.4273,0.0932,0.107,
LSGAN,64,150,0.4555,0.0931,0.0853,
LSGAN,65,150,0.4391,0.0845,0.093,
LSGAN,66,150,0.4485,0.0816,0.0766,
LSGAN,67,150,0.4462,0.0909,0.1107,
LSGAN,68,150,0.4534,0.0868,0.0879,
LSGAN,69,150,0.456,0.0796,0.0679,
LSGAN,70,150,0.463,0.0792,0.0794,48.0648
LSGAN,71,150,0.4548,0.0846,0.0694,
LSGAN,72,150,0.4626,0.0803,0.0682,
LSGAN,73,150,0.4608,0.0776,0.0922,
LSGAN,74,150,0.4612,0.0847,0.0589,
LSGAN,75,150,0.4561,0.0775,0.0768,
LSGAN,76,150,0.4532,0.0828,0.0792,
LSGAN,77,150,0.4679,0.0716,0.0609,
LSGAN,78,150,0.4618,0.0768,0.0707,
LSGAN,79,150,0.468,0.0756,0.1039,
LSGAN,80,150,0.4612,0.0767,0.0751,43.1686
LSGAN,81,150,0.4522,0.0768,0.0663,
LSGAN,82,150,0.4673,0.0717,0.0746,
LSGAN,83,150,0.4608,0.0737,0.04,
LSGAN,84,150,0.4196,0.1269,0.0702,
LSGAN,85,150,0.4567,0.0714,0.0818,
LSGAN,86,150,0.4602,0.0691,0.0744,
LSGAN,87,150,0.4515,0.0902,0.0529,
LSGAN,88,150,0.4665,0.0689,0.0761,
LSGAN,89,150,0.4659,0.0701,0.0863,
LSGAN,90,150,0.472,0.0682,0.0688,49.4085
LSGAN,91,150,0.465,0.0712,0.0561,
