Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
LSGAN,11,100,0.4494,0.1233,0.1659,
LSGAN,12,100,0.4546,0.1122,0.1607,
LSGAN,13,100,0.4597,0.1108,0.1456,
LSGAN,14,100,0.4562,0.1141,0.1619,
LSGAN,15,100,0.4579,0.1131,0.1831,
LSGAN,16,100,0.4779,0.0949,0.1603,
LSGAN,17,100,0.4388,0.1197,0.1664,
LSGAN,18,100,0.4566,0.1024,0.1552,
LSGAN,19,100,0.471,0.0895,0.1639,
LSGAN,20,100,0.4426,0.11,0.1517,81.3051
LSGAN,21,100,0.4528,0.108,0.1439,
LSGAN,22,100,0.456,0.1008,0.1591,
LSGAN,23,100,0.4434,0.1051,0.1785,
LSGAN,24,100,0.4549,0.0941,0.1663,
LSGAN,25,100,0.4472,0.1048,0.1618,
LSGAN,26,100,0.4486,0.1048,0.1675,
LSGAN,27,100,0.4481,0.0949,0.1723,
LSGAN,28,100,0.4579,0.0878,0.1684,
LSGAN,29,100,0.4404,0.106,0.1615,
LSGAN,30,100,0.4427,0.0967,0.1311,77.4109
LSGAN,31,100,0.4593,0.086,0.1422,
LSGAN,32,100,0.4537,0.0869,0.1435,
LSGAN,33,100,0.4348,0.101,0.1608,
LSGAN,34,100,0.4524,0.0859,0.1748,
LSGAN,35,100,0.4394,0.0976,0.1736,
LSGAN,36,100,0.4425,0.0907,0.1706,
LSGAN,37,100,0.4626,0.0848,0.1745,
LSGAN,38,100,0.4548,0.0838,0.178,
LSGAN,39,100,0.459,0.0796,0.1296,
LSGAN,40,100,0.4538,0.078,0.168,64.7399
LSGAN,41,100,0.4506,0.0857,0.1822,
LSGAN,42,100,0.4721,0.0655,0.1618,
LSGAN,43,100,0.4605,0.0751,0.1511,
LSGAN,44,100,0.4669,0.0639,0.1694,
LSGAN,45,100,0.4661,0.0696,0.1616,
LSGAN,46,100,0.4417,0.0855,0.1735,
LSGAN,47,100,0.5079,0.0367,0.1058,
LSGAN,48,100,0.4576,0.0746,0.1728,
LSGAN,49,100,0.4517,0.0773,0.1792,
LSGAN,50,100,0.4632,0.0619,0.1732,61.4839
LSGAN,51,100,0.469,0.0631,0.1876,
LSGAN,52,100,0.4738,0.0626,0.1761,
LSGAN,53,100,0.47,0.0604,0.1743,
LSGAN,54,100,0.4774,0.0506,0.1623,
LSGAN,55,100,0.4755,0.0526,0.192,
LSGAN,56,100,0.4722,0.0577,0.1511,
LSGAN,57,100,0.4548,0.0678,0.1707,
LSGAN,58,100,0.4746,0.0523,0.1702,
LSGAN,59,100,0.4626,0.0612,0.1741,
LSGAN,60,100,0.479,0.0492,0.1609,79.5955
LSGAN,61,100,0.4677,0.0589,0.1639,
LSGAN,62,100,0.5063,0.0301,0.14,
LSGAN,63,100,0.4728,0.058,0.1567,
LSGAN,64,100,0.4812,0.0448,0.1741,
LSGAN,65,100,0.4806,0.0442,0.1779,
LSGAN,66,100,0.4751,0.0503,0.1808,
LSGAN,67,100,0.4759,0.0468,0.1635,
LSGAN,68,100,0.4787,0.0454,0.1657,
LSGAN,69,100,0.4843,0.0406,0.1303,
LSGAN,70,100,0.4927,0.0442,0.174,54.6887
LSGAN,71,100,0.4754,0.0501,0.1709,
LSGAN,72,100,0.4875,0.0397,0.1733,
LSGAN,73,100,0.4862,0.0417,0.1851,
LSGAN,74,100,0.4789,0.0488,0.1625,
LSGAN,75,100,0.4792,0.0482,0.1643,
LSGAN,76,100,0.4811,0.0421,0.1554,
LSGAN,77,100,0.4827,0.0421,0.1578,
LSGAN,78,100,0.4774,0.0447,0.1701,
LSGAN,79,100,0.4971,0.0319,0.1667,
LSGAN,80,100,0.4821,0.0455,0.1683,50.6092
LSGAN,81,100,0.4838,0.0399,0.1465,
LSGAN,82,100,0.49,0.035,0.1816,
LSGAN,83,100,0.4694,0.0483,0.1783,
LSGAN,84,100,0.4888,0.0346,0.1054,
LSGAN,85,100,0.4772,0.0499,0.1786,
LSGAN,86,100,0.4885,0.0338,0.1525,
LSGAN,87,100,0.4821,0.0408,0.1747,
LSGAN,88,100,0.4846,0.036,0.152,
LSGAN,89,100,0.4791,0.0408,0.1549,
LSGAN,90,100,0.4739,0.0408,0.1707,46.1567
LSGAN,91,100,0.4897,0.0325,0.1729,
LSGAN,92,100,0.4837,0.0378,0.1261,
LSGAN,93,100,0.4773,0.0437,0.1812,
LSGAN,94,100,0.4861,0.0382,0.1723,
LSGAN,95,100,0.48,0.0389,0.1775,
LSGAN,96,100,0.4817,0.0367,0.1794,
LSGAN,97,100,0.49,0.0327,0.1753,
LSGAN,98,100,0.4815,0.035,0.168,
LSGAN,99,100,0.4832,0.0353,0.1672,
LSGAN,100,100,0.4828,0.038,0.1698,42.2016
WGAN,1,100,0.6652,-1.2986,0.2403,
WGAN,2,100,0.3609,-0.8075,0.2992,
WGAN,3,100,0.2672,-0.631,0.3069,
WGAN,4,100,0.2137,-0.5455,0.3093,
WGAN,5,100,0.1786,-0.4758,0.2715,
WGAN,6,100,0.2234,-0.4715,0.2624,
WGAN,7,100,0.2662,-0.4488,0.2588,
WGAN,8,100,0.1998,-0.3802,0.2755,
WGAN,9,100,0.2845,-0.4015,0.1893,
WGAN,10,100,0.2173,-0.3975,0.2108,116.5587
WGAN,11,100,0.1749,-0.3769,0.2062,
WGAN,12,100,0.1614,-0.3751,0.2302,
WGAN,13,100,0.146,-0.385,0.2392,
WGAN,14,100,0.0865,-0.3829,0.2333,
WGAN,15,100,0.1007,-0.3674,0.2508,
WGAN,16,100,0.0966,-0.2374,0.2669,
WGAN,17,100,0.0514,-0.1609,0.2542,
WGAN,18,100,0.0644,-0.15,0.2627,
WGAN,19,100,0.0756,-0.1505,0.2645,
WGAN,20,100,0.0397,-0.1466,0.2605,126.7481
WGAN,21,100,0.0673,-0.1493,0.2496,
WGAN,22,100,0.0799,-0.1471,0.2508,
WGAN,23,100,0.0682,-0.1475,0.2541,
WGAN,24,100,0.0405,-0.1485,0.2502,
WGAN,25,100,0.034,-0.1489,0.2559,
WGAN,26,100,0.0357,-0.1523,0.2728,
WGAN,27,100,0.0952,-0.146,0.2703,
WGAN,28,100,0.0539,-0.1409,0.2627,
WGAN,29,100,0.0763,-0.1449,0.2501,
WGAN,30,100,0.0532,-0.145,0.2673,137.2196
WGAN,31,100,0.0345,-0.1507,0.2746,
WGAN,32,100,0.0702,-0.1488,0.2886,
WGAN,33,100,0.059,-0.1371,0.2667,
WGAN,34,100,0.0532,-0.1483,0.2751,
WGAN,35,100,0.0373,-0.1422,0.26,
WGAN,36,100,0.0616,-0.1416,0.2596,
WGAN,37,100,0.0516,-0.1428,0.2714,
WGAN,38,100,0.0549,-0.1518,0.259,
WGAN,39,100,0.0726,-0.1438,0.2603,
WGAN,40,100,0.0777,-0.1358,0.268,146.501
WGAN,41,100,0.0413,-0.1443,0.256,
WGAN,42,100,0.0442,-0.1417,0.2804,
WGAN,43,100,0.0556,-0.1463,0.2808,
WGAN,44,100,0.06,-0.1362,0.2644,
WGAN,45,100,0.0776,-0.1452,0.2783,
WGAN,46,100,0.032,-0.1414,0.2768,
WGAN,47,100,0.0466,-0.1447,0.2585,
WGAN,48,100,0.0469,-0.1387,0.2701,
WGAN,49,100,0.0831,-0.1371,0.2623,
WGAN,50,100,0.0935,-0.1413,0.2624,153.4778
WGAN,51,100,0.077,-0.1352,0.2568,
WGAN,52,100,0.2329,-0.458,0.3407,
WGAN,53,100,0.4144,-0.5488,0.2469,
WGAN,54,100,0.3873,-0.4688,0.2247,
WGAN,55,100,0.2902,-0.4331,0.197,
WGAN,56,100,0.2565,-0.4064,0.2174,
WGAN,57,100,0.2323,-0.3763,0.2163,
WGAN,58,100,0.2351,-0.3709,0.2205,
WGAN,59,100,0.2188,-0.3743,0.2525,
WGAN,60,100,0.1181,-0.2454,0.2506,94.8315
WGAN,61,100,0.0572,-0.1394,0.2691,
WGAN,62,100,0.0531,-0.1407,0.2545,
WGAN,63,100,0.0888,-0.1461,0.2703,
WGAN,64,100,0.0683,-0.1336,0.2671,
WGAN,65,100,0.0771,-0.1398,0.2786,
WGAN,66,100,0.0883,-0.1373,0.2765,
WGAN,67,100,0.0383,-0.1368,0.2738,
WGAN,68,100,0.0252,-0.1344,0.2809,
WGAN,69,100,0.0652,-0.1393,0.2697,
WGAN,70,100,0.0926,-0.14,0.2993,112.4705
WGAN,71,100,0.0347,-0.1405,0.2604,
WGAN,72,100,0.0591,-0.1424,0.2783,
WGAN,73,100,0.0898,-0.1359,0.2824,
WGAN,74,100,0.0712,-0.1441,0.2722,
WGAN,75,100,0.0559,-0.1423,0.2813,
WGAN,76,100,0.0854,-0.1473,0.2639,
WGAN,77,100,0.0347,-0.1472,0.2852,
WGAN,78,100,0.0439,-0.1384,0.2748,
WGAN,79,100,0.0691,-0.1436,0.2741,
WGAN,80,100,0.0406,-0.1502,0.2777,109.8801
WGAN,81,100,0.0725,-0.1497,0.2851,
WGAN,82,100,0.0549,-0.1406,0.2705,
WGAN,83,100,0.047,-0.1449,0.2672,
WGAN,84,100,0.0537,-0.1347,0.2685,
WGAN,85,100,0.0581,-0.1396,0.2682,
WGAN,86,100,0.148,-0.36,0.2783,
WGAN,87,100,0.285,-0.4686,0.1971,
WGAN,88,100,0.2413,-0.395,0.2401,
WGAN,89,100,0.2282,-0.3754,0.2228,
WGAN,90,100,0.1928,-0.374,0.2634,82.123
WGAN,91,100,0.0737,-0.2246,0.2757,
WGAN,92,100,0.0351,-0.143,0.2655,
WGAN,93,100,0.0955,-0.1354,0.2779,
WGAN,94,100,0.0579,-0.1399,0.2646,
WGAN,95,100,0.0595,-0.1504,0.2672,
WGAN,96,100,0.0757,-0.1459,0.2757,
WGAN,97,100,0.0703,-0.1394,0.2729,
WGAN,98,100,0.0541,-0.1412,0.2793,
WGAN,99,100,0.052,-0.1448,0.2592,
WGAN,100,100,0.0596,-0.1382,0.2711,96.3026
WGANGP,1,100,89.1305,-46.9198,0.2041,
WGANGP,2,100,49.3221,-11.2056,0.2052,
WGANGP,3,100,47.1355,-12.689,0.2162,
WGANGP,4,100,57.7202,-23.2361,0.2403,
WGANGP,5,100,74.9241,-4.3611,0.1913,
WGANGP,6,100,74.2789,-6.2565,0.2373,
WGANGP,7,100,74.5719,-29.0972,0.2056,
WGANGP,8,100,154.5784,-45.2748,0.2273,
WGANGP,9,100,129.7883,-1.1702,0.2377,
WGANGP,10,100,126.9319,4.4247,0.236,149.4962
WGANGP,11,100,125.2474,1.1982,0.2522,
WGANGP,12,100,122.2963,-5.8822,0.2608,
WGANGP,13,100,116.6801,-4.0515,0.2628,
WGANGP,14,100,127.9189,-10.75,0.2662,
WGANGP,15,100,123.831,3.2753,0.2463,
WGANGP,16,100,118.1932,-3.1976,0.2209,
WGANGP,17,100,112.664,10.1409,0.2596,
WGANGP,18,100,106.8866,-2.779,0.2587,
WGANGP,19,100,106.5745,-2.5856,0.2311,
WGANGP,20,100,105.6957,-4.3774,0.2545,99.5303
WGANGP,21,100,110.9794,-4.3831,0.2366,
WGANGP,22,100,112.9632,0.6272,0.2578,
WGANGP,23,100,119.5546,-5.1348,0.2357,
WGANGP,24,100,123.1172,-5.9269,0.2431,
WGANGP,25,100,126.9651,-4.1714,0.2694,
WGANGP,26,100,129.4667,-4.3351,0.2413,
WGANGP,27,100,130.73,-5.6324,0.277,
WGANGP,28,100,134.9654,-5.6449,0.2546,
WGANGP,29,100,133.7194,-5.2877,0.2517,
WGANGP,30,100,132.3284,-5.4743,0.2169,78.0234
WGANGP,31,100,136.9527,-5.3841,0.2247,
WGANGP,32,100,134.1966,-2.6026,0.2564,
WGANGP,33,100,135.8863,-4.4153,0.2451,
WGANGP,34,100,134.4477,-5.374,0.2547,
WGANGP,35,100,138.9678,-5.3397,0.2448,
WGANGP,36,100,141.927,-5.0395,0.2489,
WGANGP,37,100,145.3101,-5.3574,0.2307,
WGANGP,38,100,148.3385,-5.3481,0.2578,
WGANGP,39,100,152.9109,-4.677,0.264,
WGANGP,40,100,159.9046,-2.6377,0.2389,67.4172
WGANGP,41,100,159.9379,-4.6216,0.2457,
WGANGP,42,100,162.3451,-3.9704,0.2411,
WGANGP,43,100,163.3193,-4.7093,0.2281,
WGANGP,44,100,166.5781,-3.537,0.2619,
WGANGP,45,100,169.0421,-4.6169,0.2232,
WGANGP,46,100,173.7371,-4.528,0.2495,
WGANGP,47,100,181.1794,-4.6993,0.2535,
WGANGP,48,100,181.1491,-4.626,0.2213,
WGANGP,49,100,181.1561,-4.6773,0.2405,
WGANGP,50,100,178.286,-4.4919,0.2365,63.6307
WGANGP,51,100,183.8663,-4.6385,0.2256,
WGANGP,52,100,181.5256,-4.875,0.2419,
WGANGP,53,100,178.9763,-4.5749,0.2461,
WGANGP,54,100,180.5359,-4.621,0.2465,
WGANGP,55,100,180.4353,-4.8496,0.2412,
WGANGP,56,100,178.9048,-4.5308,0.2162,
WGANGP,57,100,179.4954,-4.5283,0.2208,
WGANGP,58,100,176.6584,-4.6408,0.2397,
WGANGP,59,100,173.2146,-4.5756,0.2368,
WGANGP,60,100,176.6795,-4.6362,0.2347,62.0181
WGANGP,61,100,178.95,-4.7102,0.2246,
WGANGP,62,100,181.8849,-4.6006,0.2439,
WGANGP,63,100,181.4193,-4.659,0.2225,
WGANGP,64,100,182.8577,-4.7293,0.2336,
WGANGP,65,100,183.8329,-4.7894,0.2543,
WGANGP,66,100,184.4388,-4.5921,0.2395,
WGANGP,67,100,187.7669,-4.4756,0.2463,
WGANGP,68,100,191.7389,-4.7097,0.2356,
WGANGP,69,100,199.5389,-4.5677,0.2279,
WGANGP,70,100,200.2023,-4.7819,0.2424,55.226
WGANGP,71,100,203.7509,-4.273,0.2353,
WGANGP,72,100,208.8436,-4.714,0.2298,
WGANGP,73,100,213.3855,-4.6494,0.2354,
WGANGP,74,100,217.8494,-4.552,0.2319,
WGANGP,75,100,220.9461,-4.5828,0.2381,
WGANGP,76,100,226.1995,-4.7054,0.2111,
WGANGP,77,100,228.5688,-4.6976,0.2376,
WGANGP,78,100,235.0177,-4.5518,0.2357,
WGANGP,79,100,237.3086,-3.9912,0.2322,
WGANGP,80,100,238.3001,-4.4538,0.2497,53.9808
WGANGP,81,100,239.2917,-4.5975,0.2301,
WGANGP,82,100,244.3748,-4.4834,0.2372,
WGANGP,83,100,247.3286,-4.4642,0.2351,
WGANGP,84,100,246.9293,-4.5678,0.2333,
WGANGP,85,100,243.9894,-4.3762,0.2242,
WGANGP,86,100,243.608,-4.5335,0.231,
WGANGP,87,100,242.8167,-4.4287,0.2201,
WGANGP,88,100,243.9387,-4.3293,0.2418,
WGANGP,89,100,241.867,-4.3902,0.2111,
WGANGP,90,100,241.3908,-4.5159,0.2535,53.9398
WGANGP,91,100,244.6598,-4.5775,0.2341,
WGANGP,92,100,244.6201,-4.5242,0.2347,
WGANGP,93,100,246.9511,-4.5324,0.2297,
WGANGP,94,100,246.3386,-4.4613,0.238,
WGANGP,95,100,251.5126,-4.5234,0.2289,
WGANGP,96,100,250.8919,-4.4209,0.2489,
WGANGP,97,100,252.654,-4.5199,0.2356,
WGANGP,98,100,256.5336,-4.5224,0.2128,
WGANGP,99,100,256.8977,-4.3777,0.2213,
WGANGP,100,100,255.234,-4.5109,0.2067,50.2412
HINGE,1,100,5.1485,0.6105,0.1794,
HINGE,2,100,3.1011,0.7321,0.2974,
HINGE,3,100,2.4258,0.7551,0.2499,
HINGE,4,100,2.3904,0.7924,0.2008,
HINGE,5,100,2.9267,0.6436,0.1737,
HINGE,6,100,3.0039,0.4701,0.1774,
HINGE,7,100,2.9868,0.4611,0.1639,
HINGE,8,100,2.9729,0.4162,0.1538,
HINGE,9,100,3.1653,0.3292,0.1832,
HINGE,10,100,3.0733,0.3838,0.1543,79.9669
HINGE,11,100,3.1388,0.3126,0.1483,
HINGE,12,100,3.1439,0.3282,0.152,
HINGE,13,100,3.3131,0.2363,0.1523,
HINGE,14,100,3.1488,0.3775,0.1626,
HINGE,15,100,3.1251,0.2777,0.1439,
HINGE,16,100,3.1808,0.3421,0.172,
HINGE,17,100,3.1395,0.2245,0.1496,
HINGE,18,100,3.1328,0.3393,0.1704,
HINGE,19,100,3.1215,0.2826,0.176,
HINGE,20,100,3.103,0.246,0.1598,67.7133
HINGE,21,100,3.085,0.3458,0.1622,
HINGE,22,100,3.2587,0.1461,0.1595,
HINGE,23,100,3.1095,0.3645,0.1616,
HINGE,24,100,3.1619,0.2613,0.1616,
HINGE,25,100,3.1236,0.2745,0.1574,
HINGE,26,100,3.0488,0.258,0.1675,
HINGE,27,100,3.0508,0.2311,0.1675,
HINGE,28,100,3.1046,0.2895,0.1729,
HINGE,29,100,3.1319,0.1911,0.1732,
HINGE,30,100,3.0349,0.2366,0.1497,82.4753
HINGE,31,100,3.0637,0.294,0.1464,
HINGE,32,100,3.0717,0.2741,0.1699,
HINGE,33,100,3.0815,0.2538,0.1696,
HINGE,34,100,2.9937,0.2838,0.1539,
HINGE,35,100,3.1025,0.1645,0.1546,
HINGE,36,100,3.102,0.2529,0.1769,
HINGE,37,100,3.2171,0.1809,0.1603,
HINGE,38,100,3.1051,0.2738,0.155,
HINGE,39,100,2.8027,0.2587,0.1537,
HINGE,40,100,3.0751,0.2596,0.1713,63.1449
HINGE,41,100,3.029,0.2194,0.1828,
HINGE,42,100,3.0607,0.1744,0.1515,
HINGE,43,100,2.9029,0.2164,0.1625,
HINGE,44,100,3.0296,0.251,0.158,
HINGE,45,100,2.913,0.2745,0.176,
HINGE,46,100,3.0308,0.2052,0.1608,
HINGE,47,100,3.1293,0.1944,0.1489,
HINGE,48,100,3.0086,0.2367,0.1482,
HINGE,49,100,3.0584,0.1806,0.1586,
HINGE,50,100,3.0133,0.2446,0.1608,53.8089
HINGE,51,100,2.9058,0.2608,0.1675,
HINGE,52,100,2.9588,0.234,0.1568,
HINGE,53,100,2.9904,0.2204,0.1762,
HINGE,54,100,2.9095,0.2197,0.1742,
HINGE,55,100,3.0274,0.1761,0.1583,
HINGE,56,100,2.9601,0.2359,0.1641,
HINGE,57,100,3.2144,0.1604,0.1636,
HINGE,58,100,2.9515,0.2042,0.1646,
HINGE,59,100,2.9883,0.2352,0.1777,
HINGE,60,100,3.0062,0.1957,0.1631,51.7838
HINGE,61,100,3.3847,0.1156,0.0269,
HINGE,62,100,5.7834,0.0064,0.0026,
HINGE,63,100,3.7384,0.0009,0.0012,
HINGE,64,100,3.3887,0.0002,0.0003,
HINGE,65,100,3.5416,0.0001,0.0005,
HINGE,66,100,3.8546,0.0,0.0004,
HINGE,67,100,4.1419,0.0004,0.0003,
HINGE,68,100,4.944,0.0762,0.0018,
HINGE,69,100,5.2034,0.0051,0.0006,
HINGE,70,100,4.3551,0.0001,0.0004,426.4707
HINGE,71,100,6.9704,0.2077,0.0999,
