Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
WGAN,6,50,0.3811,-0.7857,0.0819,
WGAN,7,50,0.33,-0.7555,0.0932,
WGAN,8,50,0.2861,-0.7286,0.0905,
WGAN,9,50,0.3496,-0.699,0.0913,
WGAN,10,50,0.3089,-0.6646,0.0989,161.136
WGAN,11,50,0.2829,-0.6146,0.098,
WGAN,12,50,0.299,-0.5995,0.0994,
WGAN,13,50,0.2988,-0.588,0.0912,
WGAN,14,50,0.304,-0.5652,0.1021,
WGAN,15,50,0.2986,-0.5591,0.0942,
WGAN,16,50,0.2991,-0.5638,0.0972,
WGAN,17,50,0.2736,-0.5433,0.1069,
WGAN,18,50,0.2669,-0.5277,0.0929,
WGAN,19,50,0.2477,-0.5147,0.0949,
WGAN,20,50,0.2444,-0.5339,0.1252,132.4944
WGAN,21,50,0.1903,-0.5576,0.1256,
WGAN,22,50,0.2548,-0.5939,0.1263,
WGAN,23,50,0.2551,-0.5561,0.1281,
WGAN,24,50,0.2674,-0.5727,0.1102,
WGAN,25,50,0.1602,-0.5163,0.1068,
WGAN,26,50,0.16,-0.471,0.1096,
WGAN,27,50,0.1404,-0.4486,0.1052,
WGAN,28,50,0.158,-0.4444,0.1089,
WGAN,29,50,0.146,-0.4392,0.1193,
WGAN,30,50,0.2243,-0.4967,0.1322,139.851
WGAN,31,50,0.2942,-0.5972,0.1149,
WGAN,32,50,0.3056,-0.5568,0.0954,
WGAN,33,50,0.2755,-0.4894,0.0987,
WGAN,34,50,0.257,-0.4662,0.098,
WGAN,35,50,0.2174,-0.4306,0.0958,
WGAN,36,50,0.2162,-0.3979,0.0984,
WGAN,37,50,0.1645,-0.4091,0.0991,
WGAN,38,50,0.1343,-0.3751,0.1007,
WGAN,39,50,0.1473,-0.3718,0.0972,
WGAN,40,50,0.1682,-0.3522,0.1089,124.5609
WGAN,41,50,0.1604,-0.3567,0.0969,
WGAN,42,50,0.1798,-0.3404,0.1061,
WGAN,43,50,0.1699,-0.342,0.1136,
