Exp_No,Dataset,Architecture,Optimizer,Loss_Type,Uncertainty_Policy,Epochs,Final_G_Loss,Final_D_Loss,FID,IS_mean,IS_std,Precision,Recall,SSIM_mean,SSIM_std,ModeVariance
1,CheXpert-v1.0-small,DCGAN,Adam,standard,ignore,300,7.0507,0.1072,26.0384,2.3334,0.1165,0.702,0.537,0.5286,0.0692,0.2606
2,CheXpert-v1.0-small,DCGAN,Adam,lsgan,ignore,300,0.4502,0.0574,21.3377,2.1914,0.0742,0.744,0.578,0.5277,0.0773,0.2846
